way_out  desligamento  formatura   All
age                                   
15                  0          2     2
16                 16         12    28
17                205        183   388
18                746        663  1409
19                521        428   949
20                214        153   367
21                164         91   255
22                134         70   204
23                106         53   159
24                 98         39   137
25                 64         28    92
26                 76         18    94
27                 60         22    82
28                 34         14    48
29                 35          4    39
30                 25          7    32
31                 32          4    36
32                 24          5    29
33                 18          4    22
34                 17          3    20
35                 15          3    18
36                 16          3    19
37                 13          2    15
38                 10          0    10
39                 10          1    11
40                  6          0     6
41                  6          1     7
42                 11          1    12
43                  5          0     5
44                  8          0     8
45                  5          0     5
46                  6          0     6
47                  3          0     3
48                  4          0     4
49                  5          2     7
50                  3          0     3
51                  3          0     3
53                  1          0     1
54                  2          0     2
55                  2          0     2
56                  3          0     3
60                  1          0     1
62                  1          0     1
All              2728       1816  4544
